schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Abilene Christian2019,0,0,0,0,0,0,0.189243846,-0.45682705,-0.4211429,-0.172454739,-0.047939699,-0.041476018,0.134528247,-0.099112046,-0.24969214,-0.172454739,-0.047939699,-0.041476018
Akron2011,0,0,0,0,0,0,1.141074311,0.470106891,0.197803631,0.120524529,0.085757094,0.038517331,0.830991443,0.355807434,0.068961846,0.013140225,0.02302185,0.020447198
Akron2013,0,0,0,0,0,0,0.575974025,-0.136328215,-0.314888585,-0.092267818,-0.0124254,-6.06E-04,0.517349664,-0.029015418,-0.102112647,-0.092267818,-0.0124254,-6.06E-04
Alabama St.2011,0,0,0,0,0,0,0.613278877,-0.014021916,0.020382566,-0.031998028,-0.009544513,0.012294848,0.613278877,-0.014021916,0.020382566,-0.031998028,0.036333603,0.012294848
Alabama2012,0,0,0,0,0,0,1.10317656,0.298781429,0.201902923,0.039629432,0.032372471,0.036174952,0.647875128,0.249949884,0.043182338,-0.035657868,-0.014480225,0.024666401
Alabama2018,1,0,0,0,0,0,1.299083749,0.973581721,0.386081446,0.152862305,0.139716942,0.141400832,1.030889894,0.611324896,0.229030157,0.048990452,0.092864246,0.047119936
Albany2013,0,0,0,0,0,0,0.653239829,0.636749015,0.209660469,0.12253917,0.073545802,0.028379355,0.488096899,0.196902252,0.05260918,0.018667317,0.026693106,-0.002896489
Albany2014,0,0,0,0,0,0,0.579521842,0.372962488,0.030432161,0.055041101,0.03570132,0.010808483,0.579521842,0.269694781,0.139377606,0.055041101,0.03570132,0.010808483
Albany2015,0,0,0,0,0,0,0.962025076,-0.007929902,-0.0385334,-0.012506782,0.142636199,0.004333084,0.602082939,0.071481883,0.070164421,-0.054510588,-0.010826969,0.004333084
American2014,0,0,0,0,0,0,0.860436638,0.204643545,-0.033372833,-0.02673575,0.032362857,-0.005604313,0.541474976,0.175663595,0.063460912,-0.068739556,7.09E-05,-0.005604313
Arizona St.2014,0,0,0,0,0,0,1.250998406,0.624335233,0.374007553,0.257626746,0.145900852,0.079039055,0.742930722,0.486762855,0.231997814,0.115505455,0.073557434,0.030643421
Arizona St.2018,0,0,0,0,0,0,1.160013211,0.606624251,0.14398845,0.158697357,0.095076116,0.06485002,0.876630021,0.477917717,0.156200147,0.054825503,0.04822342,0.033574177
Arizona St.2019,0,0,0,0,0,0,1.839404659,1.111996303,0.545144815,0.220263809,0.293859246,0.041568638,1.156350398,0.778583977,0.406119253,0.143523017,0.105306439,0.041568638
Arizona2011,1,1,1,0,0,0,1.298848966,0.711472928,0.303180932,0.009374799,0.065757237,0.01299839,0.626969514,0.347820688,0.040553887,-0.032629007,0.033465298,0.01299839
Arizona2013,1,1,0,0,0,0,1.475149572,0.888266446,0.33581736,0.234555043,0.111730905,0.094980641,0.867993461,0.644659777,0.232528797,0.127170739,0.085265603,0.046585008
Arizona2014,1,1,1,0,0,0,2.649358543,2.21330608,1.263592144,0.615791096,0.290640742,0.180712675,1.676025112,1.254164057,0.74109166,0.362852744,0.170925907,0.102850895
Arizona2015,1,1,1,0,0,0,2.094475591,1.723223922,0.993643257,0.306798875,0.095969744,0.095317177,1.304682535,0.961881004,0.527889106,0.231511575,0.094995164,0.083808627
Arizona2016,0,0,0,0,0,0,1.618293368,1.405116388,0.501658392,0.196416555,0.076242818,0.040456737,0.925302765,0.859034021,0.362632829,0.161679569,0.087031296,0.040456737
Arizona2017,1,1,0,0,0,0,2.085166266,1.495171213,0.876786766,0.475303228,0.245552692,0.170732037,1.486819747,1.048018947,0.528997493,0.226119244,0.132639075,0.075750467
Arizona2018,0,0,0,0,0,0,1.472181302,0.736085875,0.518003596,0.25070563,0.097691815,0.104060796,1.059742332,0.669568288,0.404306875,0.143642937,0.057121616,0.057474859
Arkansas Little Rock2011,0,0,0,0,0,0,0.282141693,-0.28510707,-0.611070018,-0.21016447,-0.084756231,-0.065266746,0.178091724,-0.119645655,-0.342620934,-0.21016447,-0.040058418,-0.034941245
Arkansas Little Rock2016,1,0,0,0,0,0,0.965765355,0.469325146,0.057257518,-0.00287565,0.101829532,0.01749999,0.612868328,0.455117096,0.031554932,-0.00287565,0.066739894,0.01749999
Arkansas Pine Bluff2010,0,0,0,0,0,0,0.91163701,0.240273249,0.092026779,0.030928777,-0.009410216,0.031935129,0.591842267,0.395694247,0.092026779,0.030928777,0.0364679,0.031935129
Arkansas2015,1,0,0,0,0,0,1.529614355,0.973538587,0.491494418,0.230052807,0.124852246,0.075152945,0.917036243,0.588769433,0.288222221,0.126180954,0.07799955,0.043877101
Arkansas2017,1,0,0,0,0,0,1.851136305,0.384987743,0.546526345,0.139563682,0.102439595,0.034417996,1.047743813,0.54040874,0.284383094,0.139563682,0.102439595,0.034417996
Arkansas2018,0,0,0,0,0,0,1.483346426,0.78734917,0.427054363,0.221753533,0.105244796,0.059541138,1.034905798,0.499852796,0.272564249,0.083144694,0.0583921,0.028265294
Auburn2018,1,0,0,0,0,0,2.170344419,1.110903511,0.717577039,0.277639681,0.122029951,0.093895086,1.483527554,0.978999317,0.448382706,0.208165708,0.122029951,0.093895086
Auburn2019,1,1,1,1,0,0,2.444293032,1.632030244,1.007574241,0.544762403,0.177399022,0.178999552,1.434397347,1.162789438,0.58651331,0.330637017,0.142136739,0.085827677
Austin Peay2016,0,0,0,0,0,0,0.852482553,0.148914713,-0.065756636,0.035206911,0.085968209,9.94E-04,0.496753611,0.237626914,0.065750107,-0.006796895,0.018586631,9.94E-04
Baylor2010,1,1,1,0,0,0,1.892929473,1.657106264,0.961343809,0.51766015,0.160120855,0.094901504,1.177225595,0.817804996,0.412489549,0.206265847,0.113268159,0.06362566
Baylor2012,1,1,1,0,0,0,1.898138657,1.234080251,0.771415549,0.37419861,0.119474241,0.097657934,1.123824371,0.691712013,0.365234099,0.163264064,0.076749158,0.050121655
Baylor2014,1,1,0,0,0,0,1.583113243,1.26335729,0.648151203,0.320133898,0.106549923,0.022083876,0.924316003,0.613255481,0.288402013,0.147348434,0.071460284,0.022083876
Baylor2015,0,0,0,0,0,0,1.684110171,1.125638663,0.652972025,0.287422172,0.1343103,0.077690208,0.898022839,0.727388898,0.365073647,0.183550319,0.087457604,0.046414364
Baylor2016,0,0,0,0,0,0,1.326047988,0.932488751,0.396524665,0.088656497,9.54E-04,0.02542515,0.653943784,0.54552402,0.235499596,0.088656497,9.54E-04,0.02542515
Baylor2017,1,1,0,0,0,0,1.296364526,0.985122877,0.110290547,0.01490811,-0.019802515,-0.00533134,0.431814038,0.280206886,0.127771561,0.01490811,-0.019802515,-0.00533134
Baylor2019,1,0,0,0,0,0,1.516384222,0.684234839,0.321424973,0.180571023,0.061716177,0.042096475,1.16512432,0.584138407,0.256621077,0.076699169,0.059561294,0.041146133
Belmont2011,0,0,0,0,0,0,1.030370291,0.747694935,0.217106287,0.099210343,0.108816481,0.068039303,0.805967439,0.511180621,0.135837091,0.057206537,0.041434904,0.068039303
